label,cond,target,old,new,new_seedmean,diff,pass_,source,note
Stefan 최소제곱 E 지역 내,labels,Alaska,14.46,14.456724845089976,14.456724845089976,-0.0032751549100247246,True,tab:transfer/E2,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 중앙값비 E 지역 내,labels,Alaska,14.56,14.556516872615799,14.556516872615799,-0.0034831273842019783,True,tab:physics S2,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan+ridge λ=.75 (13.33),labels,Alaska,13.33,13.329946593563749,13.329946593563749,-5.340643625117991e-05,True,tab:transfer S4,풀링 앙상블·seed평균 중 근접값으로 판정
ridge 직접 25종,labels,Alaska,13.62,13.619692939222661,13.619692939222661,-0.00030706077733810844,True,09-14 대조,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 정보 없음 레나,noinfo,Lena,21.62,21.623974469334783,21.623974469334783,0.003974469334782071,True,E1-E3,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 정보 없음 캐나다,noinfo,Canada,26.63,26.50381072868332,26.50381072868332,-0.12618927131667945,False,E1-E3,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan+CCI 정보 없음 레나,noinfo,Lena,20.76,20.760940506871332,20.760940506871332,0.0009405068713306264,True,E1-E3,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan+CCI 정보 없음 캐나다,noinfo,Canada,25.82,25.719263613745216,25.719263613745216,-0.1007363862547841,False,E1-E3,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 공변량만 레나(split0),covonly,Lena,16.11,16.11395691126464,16.11395691126464,0.00395691126464115,True,E3 adaptive/S12,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan+CCI 공변량만 레나(split0),covonly,Lena,14.57,14.567517056791306,14.567517056791306,-0.0024829432086939107,True,S12,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 유사라벨 r=10 catboost 레나,covonly,Lena,16.55,16.522151612595135,16.52403457389462,-0.025965426105379663,True,tab:aug S3,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 유사라벨 r=10 catboost 캐나다,covonly,Canada,31.81,30.203209058190545,30.225941716814727,-1.5840582831852714,False,tab:aug S3,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 유사라벨 r=10 catboost_lo 레나,covonly,Lena,16.48,16.481750555889644,16.482091881226506,0.001750555889643124,True,E1,풀링 앙상블·seed평균 중 근접값으로 판정
Stefan 유사라벨 r=10 catboost_lo 캐나다,covonly,Canada,30.21,29.66413391412126,29.688067745418934,-0.521932254581067,False,E1,풀링 앙상블·seed평균 중 근접값으로 판정
증강 없음 catboost 레나,covonly,Lena,21.9,21.826652105058116,21.873954537178914,-0.026045462821084442,True,tab:aug S3,풀링 앙상블·seed평균 중 근접값으로 판정
증강 없음 catboost 캐나다,covonly,Canada,34.0,31.903908298216553,31.951457818293147,-2.0485421817068534,False,tab:aug S3,풀링 앙상블·seed평균 중 근접값으로 판정
MLP 34종 3-seed 앙상블,labels,Alaska,14.37,14.387935414563845,14.583936233453409,0.017935414563845953,True,tab:models S1(앙상블),풀링 앙상블·seed평균 중 근접값으로 판정
CatBoost 34종 3-seed 앙상블,labels,Alaska,15.61,15.606646277489808,15.659354301873833,-0.0033537225101909485,True,tab:models S1(앙상블),풀링 앙상블·seed평균 중 근접값으로 판정
